sample,dr_LAL,dr_LAM,dr_LAU,bar_LAL,bar_LAM,bar_LAU,sp_LAL,sp_LAM,sp_LAU
0,0.484825763,0.763566566,0.185069783,1.531927723,1.602447383,1.688527592,0.476510897,0.502624067,0.482733931
1,0.406311349,0.548567357,0.315226255,1.569782486,1.641653188,1.689707171,0.468557427,0.482171523,0.471830531
2,0.489619964,0.511803633,0.337184863,1.570638591,1.588634517,1.662034005,0.488237374,0.484354417,0.474244965
3,0.439098178,0.417782862,0.332668865,1.594041966,1.567247991,1.678153221,0.46225278,0.477318008,0.483302309
4,0.449960933,0.586113685,0.442530027,1.534474811,1.540564913,1.718949617,0.452037686,0.457414803,0.474787062
5,0.481394173,0.647764974,0.276378043,1.604081247,1.592002735,1.632513651,0.46844749,0.478233774,0.491236471
6,0.418014443,0.551011665,0.201019989,1.588175193,1.780373533,1.604861744,0.478959258,0.484516382,0.472682982
7,0.377315229,0.476714674,0.298398152,1.592217723,1.766311941,1.663100393,0.476506922,0.485135505,0.473507112
8,0.464879119,0.460609163,0.363015313,1.580425301,1.623625834,1.667591455,0.496048694,0.498382836,0.462200944
9,0.482861077,0.446030083,0.388857701,1.623156281,1.624319121,1.671839999,0.487806876,0.484988216,0.475725144
10,0.521324256,0.372454237,0.28953369,1.591410047,1.662235767,1.657716177,0.462932834,0.481903733,0.468447885
11,0.499587043,0.535212852,0.354743998,1.557988435,1.613731344,1.630706626,0.477987618,0.485132095,0.471844186
12,0.500431716,0.521491214,0.345833685,1.607652162,1.625354795,1.72291783,0.459734309,0.483482707,0.456988857
13,0.573836457,0.46844909,0.345272419,1.600428736,1.628494871,1.704598727,0.476419406,0.490611723,0.443106111
14,0.457160776,0.61242895,0.272528676,1.618906703,1.683469362,1.650065954,0.454589255,0.489859849,0.447052733
15,0.573428064,0.58229853,0.375544767,1.574934863,1.723571044,1.632885404,0.492864021,0.494964158,0.464663588
16,0.298768565,0.597575907,0.284575629,1.676594943,1.668187382,1.661828299,0.480831077,0.478937119,0.462035256
17,0.521564626,0.462044835,0.362019062,1.555061639,1.664894551,1.619129664,0.482549113,0.482053944,0.495631615
18,0.432069406,0.544059285,0.330362749,1.652056751,1.688734862,1.634404762,0.475857259,0.46373584,0.488012374
19,0.506407265,0.508972574,0.232280604,1.513946771,1.691133615,1.650783961,0.473200244,0.462727675,0.471758393
20,0.4139431,0.42187028,0.352360748,1.565893381,1.630393131,1.722888979,0.469275825,0.486599231,0.465909711
21,0.451291165,0.449273257,0.26770023,1.560413743,1.629782389,1.745453167,0.479122636,0.490147544,0.479002869
22,0.490856849,0.470969519,0.395926463,1.595251263,1.648989793,1.723610387,0.476962708,0.491929745,0.463840346
23,0.436359234,0.643911734,0.248701469,1.521281957,1.609876718,1.769301871,0.484974335,0.473951156,0.454547298
24,0.443911187,0.493755925,0.250494305,1.607313471,1.760077494,1.733224308,0.472601576,0.483116552,0.473528367
25,0.407784432,0.510796121,0.243099179,1.580727488,1.756485361,1.72489956,0.480045183,0.496480011,0.479916338
26,0.474463017,0.490231125,0.282370655,1.623421322,1.668561395,1.663098824,0.481699497,0.486335436,0.494808587
27,0.507361009,0.656338957,0.196038935,1.641955268,1.624119864,1.655466991,0.445551241,0.476216509,0.481226565
28,0.467110488,0.520003652,0.238083195,1.572122195,1.677602633,1.658861222,0.4695036,0.491351964,0.465809109
29,0.492880697,0.607406691,0.173921675,1.627400117,1.692359461,1.628578797,0.477245266,0.495599284,0.484521761
30,0.424556728,0.437387131,0.2712919,1.609935614,1.653216513,1.686238332,0.474384437,0.473373757,0.472547835
31,0.475383725,0.566319468,0.334680479,1.613511024,1.594842427,1.57642319,0.467606155,0.467043005,0.483028812
32,0.542235258,0.484947542,0.265198432,1.592189793,1.587793723,1.622986852,0.471039359,0.465518859,0.464066239
33,0.380118272,0.53179229,0.20011613,1.551594454,1.693967305,1.697571938,0.464801584,0.457205381,0.447512954
34,0.464688574,0.625628997,0.209692225,1.566644444,1.66422353,1.658911267,0.462435867,0.462479461,0.464729226
35,0.577379218,0.691377453,0.419238254,1.583260735,1.654300974,1.595782092,0.459497349,0.465905823,0.460518854
36,0.540356337,0.45153291,0.396389084,1.640019757,1.673893202,1.717493611,0.459324944,0.464375169,0.459466009
37,0.421658278,0.493570396,0.171777217,1.614046329,1.655014864,1.673581802,0.463854719,0.476559995,0.47912666
38,0.5177461,0.571626287,0.277358888,1.547389853,1.629151297,1.714332419,0.474712737,0.463828014,0.501443042
39,0.521562381,0.535142499,0.214111524,1.54024011,1.677082937,1.714694,0.473320254,0.495442266,0.462464501
40,0.52318738,0.418322054,0.404189273,1.559061835,1.632175318,1.713160719,0.447922743,0.472441753,0.478509863
41,0.511367191,0.613906659,0.308343987,1.591222233,1.693971701,1.709316094,0.478564732,0.471619308,0.466269372
42,0.331540023,0.558094625,0.207173119,1.544093206,1.642510502,1.662731949,0.475084586,0.485606615,0.465860934
43,0.464715592,0.546114073,0.29478616,1.54762537,1.648346599,1.615725332,0.4897368,0.476108932,0.469447943
44,0.548998611,0.525838922,0.209535466,1.671811558,1.663764123,1.592704739,0.490324651,0.471444111,0.471392865
