sample,Loss_LAL,Loss_LAM,Loss_LAU,Win_LAL,Win_LAM,Win_LAU
0,0.501649478,0.479066929,0.418345356,0.479878405,0.478680114,0.1919651
1,0.264497772,0.514973323,0.330376206,0.611708431,0.706377932,0.239223225
2,0.516943042,0.496962973,0.271590506,0.728885182,0.610896449,0.236180891
3,0.515309512,0.404213501,0.254938992,0.659902745,0.467406513,0.154333616
4,0.644857331,0.509522784,0.21002035,0.67349895,0.729016857,0.302090009
5,0.316325038,0.448915756,0.237754487,0.537653434,0.677619417,0.34954373
6,0.571224847,0.239140508,0.318681145,0.627068407,0.618221805,0.318434123
7,0.57762271,0.303992683,0.210047545,0.669478838,0.61266131,0.405233587
8,0.294374042,0.391807393,0.135844411,0.59098007,0.485279231,0.333317366
9,0.395779316,0.512947703,0.224691548,0.600892517,0.535304147,0.361508306
10,0.530718095,0.427381695,0.149536439,0.664177715,0.50271402,0.333179359
11,0.531066913,0.357782062,0.335923041,0.698095294,0.604294417,0.456990232
12,0.598203402,0.398375837,0.272052284,0.630437856,0.496472331,0.428778036
13,0.548285761,0.544491657,0.031639091,0.64065576,0.538124638,0.172047417
14,0.498351713,0.402566444,0.243825338,0.743105415,0.726804987,0.253164161
15,0.44934312,0.438258324,0.363268456,0.62147976,0.714006621,0.095554349
16,0.452975015,0.524430579,0.085311304,0.393130053,0.526785544,0.183155505
17,0.282492766,0.552566907,0.290423507,0.586889446,0.683426738,0.299556144
18,0.458963569,0.755457579,0.388844295,0.478084359,0.5995325,0.388138657
19,0.416773607,0.70784872,0.252554131,0.640946134,0.610054013,0.38678713
20,0.410387321,0.400705012,0.210373276,0.661686559,0.709518038,0.273388904
21,0.531986911,0.49713388,0.194590771,0.51420684,0.672718136,0.174189217
22,0.53424023,0.489350586,0.132848474,0.479060203,0.607717496,0.240422172
23,0.561305687,0.488951901,0.110103183,0.639369163,0.361946701,0.364742972
24,0.539817545,0.456465844,0.162056729,0.647969808,0.516998394,0.041633318
25,0.400574534,0.619293348,0.057208895,0.618250717,0.666420678,0.253157697
26,0.46918105,0.535457595,0.130164222,0.533200287,0.637530542,0.188244039
27,0.434042362,0.38791449,0.036443951,0.562718071,0.729113914,0.37268813
28,0.339095379,0.650494033,0.19281902,0.505418451,0.498859831,0.485643715
29,0.51326624,0.593603025,0.284895469,0.598463381,0.610083853,0.276685816
30,0.611796123,0.358354662,0.237269216,0.449346587,0.687749563,0.375273397
31,0.62555355,0.708346989,0.183940054,0.951147648,0.639546011,-0.018154614
32,0.486489018,0.595207062,0.210641094,0.578247137,0.462525061,0.346456998
33,0.31407936,0.455917147,0.025379026,0.535855521,0.732585608,0.27696567
34,0.504655559,0.602190012,0.327331223,0.564984837,0.393816592,0.34848453
35,0.417283517,0.406862183,0.411385337,0.593136963,0.739475533,0.339406537
36,0.503337568,0.221394866,0.268680727,0.751368112,0.514291614,0.3919461
37,0.52416092,0.294802069,0.159834116,0.776553527,0.665017049,0.183083614
38,0.565022253,0.337245354,0.164532168,0.645354104,0.510903723,0.296942829
39,0.380676264,0.375058652,0.095964518,0.436004479,0.623351998,0.215163584
40,0.396946277,0.525353943,0.244773714,0.580010335,0.506460674,0.332351333
41,0.496064378,0.396892735,0.339720538,0.65065823,0.487984426,0.310081001
42,0.477225658,0.514398953,0.275232585,0.539401929,0.685250718,0.214568575
43,0.452144566,0.424261473,0.278503494,0.569502748,0.628218034,0.235055794
44,0.477749627,0.437564461,0.296051014,0.452677614,0.64794877,0.298385611
45,0.505556509,0.401231425,0.398566989,0.568825558,0.482564831,0.373018254
46,0.554569303,0.218260911,0.188970414,0.838764803,0.569547919,0.262147675
47,0.58221021,0.340026908,0.373078389,0.712110648,0.486282235,0.359877008
48,0.501050689,0.773977916,0.351268969,0.594195956,0.55939207,0.354782794
49,0.511566899,0.603308469,0.24424668,0.583736067,0.598872657,0.419388823
50,0.339981739,0.494611509,0.202141411,0.48506396,0.565119369,0.539279525
51,0.298182101,0.485194417,0.493924639,0.652719852,0.599809705,0.449724425
52,0.25125303,0.579397771,0.160514395,0.698345415,0.498860247,0.309805531
53,0.481852115,0.686314648,0.347415801,0.489191964,0.427190175,0.376389103
54,0.239534346,0.506717798,0.260176145,0.57943894,0.58038136,0.401692628
55,0.425528244,0.447375426,0.053847549,0.477675153,0.558856791,0.357763767
56,0.405060272,0.489520744,0.147421843,0.670414896,0.842492206,0.409223214
57,0.544043779,0.586925387,0.350847602,0.449686221,0.471695352,0.206841284
58,0.455340973,0.386159019,0.26105323,0.511674902,0.551041917,0.374649835
59,0.363620344,0.388482739,0.318741394,0.390668639,0.662927547,0.146211223
60,0.258778002,0.514244747,0.183864765,0.558177248,0.747173305,0.176598152
61,0.230318528,0.464302933,0.164167034,0.672015904,0.544595094,0.248749894
62,0.230297746,0.726250033,0.212061947,0.616240227,0.5144064,0.36700867
63,0.408628255,0.576709416,0.184759858,0.643477412,0.342068343,0.359261379
64,0.495136343,0.527523795,0.371384732,0.518712938,0.632467434,0.211372976
65,0.699049542,0.336572832,0.278848266,0.571857262,0.62688796,0.358976774
66,0.237207207,0.371943809,0.425733626,0.36910218,0.729156412,0.454279219
67,0.400627726,0.571811179,0.167225204,0.653142763,0.671574789,0.500568003
68,0.388111106,0.494290883,0.148780256,0.621841265,0.778424088,0.383978642
69,0.353363607,0.637699377,0.347213056,0.528958248,0.550816388,0.263096216
70,0.489275048,0.313586821,0.390430653,0.592751895,0.548573908,0.237274334
71,0.428697183,0.579338034,0.40404474,0.757603563,0.614366925,0.105299649
72,0.505561999,0.286508653,0.299123573,0.60130947,0.431219038,0.278694079
73,0.5851884,0.377680624,0.344985533,0.635840836,0.652003513,0.427778204
74,0.337574466,0.539404087,0.33467584,0.682477403,0.539651018,0.541209106
75,0.459845591,0.447477778,0.358927214,0.502205936,0.526285153,0.49419692
76,0.546284314,0.286630007,0.391254335,0.498897414,0.514191987,0.269128737
77,0.363338161,0.411177039,0.283142447,0.597764167,0.577544869,0.375186573
78,0.434060302,0.510831985,0.249048465,0.529247625,0.398812484,0.295869569
79,0.540175108,0.247895278,0.254435914,0.557323054,0.639913913,0.271897682
80,0.556368523,0.44294856,0.201417306,0.666278801,0.623674278,0.386232093
81,0.541695029,0.384909006,0.330746733,0.64107428,0.572469835,0.355904597
82,0.515288263,0.44072805,0.215883918,0.702044091,0.415679301,0.33363339
83,0.17115921,0.400477059,0.345834541,0.55461091,0.565785974,0.227344494
84,0.395359385,0.466240045,0.227490678,0.647723144,0.839059393,0.417572283
85,0.276620784,0.448257084,0.218148977,0.664404841,0.614666607,0.349418311
86,0.361515493,0.303129234,0.206729068,0.560215222,0.575621266,0.322453784
87,0.409468667,0.420729967,0.33188783,0.566889014,0.548255592,0.337235038
88,0.424839439,0.331910726,0.389060916,0.688767288,0.561198464,0.420496565
89,0.369658213,0.155148236,0.203271924,0.620890634,0.515591731,0.128658006
90,0.458148115,0.330452573,0.226316518,0.500637412,0.561869591,0.218134679
91,0.333930112,0.489860264,0.309483269,0.506062907,0.417441998,0.282608569
92,0.306958241,0.367302231,0.198522748,0.557342223,0.659349194,0.192842222
93,0.590148229,0.364859884,0.256911815,0.459209504,0.552841849,0.339652567
94,0.628611874,0.525881634,0.281552449,0.695248286,0.43720265,0.351613452
95,0.413834785,0.503336587,0.062254838,0.640660604,0.569166675,0.328282742
96,0.451514331,0.54511264,0.377530098,0.583327578,0.464395361,0.400667013
97,0.478161458,0.59199056,0.365065213,0.495815321,0.494684002,0.267770837
98,0.431562625,0.491596543,0.241113396,0.550363977,0.583689347,0.298063939
99,0.486134245,0.453973943,0.368501318,0.555873892,0.737210088,0.405758876
100,0.346094924,0.641648703,0.05846487,0.504488469,0.737590672,0.373677451
101,0.459625922,0.459602222,0.113940116,0.432534573,0.667451,0.283448742
102,0.372334436,0.566686314,0.059425395,0.658859577,0.6052381,0.308463157
103,0.492817044,0.255936881,0.127067369,0.612425911,0.891239223,0.42464343
104,0.461510467,0.455196389,0.205402375,0.59393793,0.585133715,0.332893187
105,0.432681753,0.536608219,0.190087927,0.621615855,0.594943354,0.227808022
106,0.381496185,0.445903518,0.351102574,0.581243026,0.519954109,0.314273392
107,0.551836927,0.418278392,0.209425034,0.613394112,0.676699806,0.329625007
108,0.298761849,0.408396413,0.245534538,0.588242407,0.644279152,0.291089882
109,0.425817403,0.485076083,0.244868059,0.687028337,0.348789877,0.421532147
110,0.199668852,0.484162851,0.19359881,0.512615745,0.515067703,0.392425838
111,0.484756269,0.597353446,0.379907307,0.545174659,0.445584529,0.236265405
112,0.336441001,0.595865657,0.112616712,0.532720259,0.475925969,0.255611165
113,0.424541393,0.359245672,0.119693139,0.690970531,0.621051525,0.462029897
114,0.348707116,0.372018447,0.104096467,0.80485511,0.59512089,0.145692329
115,0.225119934,0.34002026,0.175459314,0.776406133,0.584292877,0.091897625
116,0.54168435,0.504812762,0.234963672,0.624085104,0.598896195,0.378290584
117,0.622394954,0.469283741,0.193748214,0.542837662,0.695512759,0.358563578
118,0.470047341,0.580285861,0.244118452,0.743559437,0.624544844,0.307290163
119,0.353153092,0.455817698,0.114104192,0.633885249,0.829048082,0.391295096
120,0.419351513,0.45190754,0.102104167,0.342537453,0.670651063,0.178784794
121,0.645535083,0.578253662,0.173870169,0.460543248,0.744224451,0.199043807
122,0.447034848,0.555438765,0.179962943,0.49334314,0.642279241,0.21249815
123,0.347694507,0.525070186,0.248566131,0.537124177,0.707758014,-0.015700983
124,0.322392708,0.411949592,0.303206427,0.661822181,0.573420691,0.133770509
125,0.314801485,0.537474193,0.147414962,0.577202419,0.615557269,0.174124444
126,0.512581275,0.589973572,0.202675278,0.57290061,0.662411458,0.239560319
127,0.32897183,0.585044813,0.23497569,0.542112141,0.401166872,0.179624984
128,0.486778031,0.570107198,0.440261144,0.59138651,0.336993944,0.338349306
129,0.516737541,0.400660279,0.275367572,0.400440622,0.652983966,0.237439987
130,0.346418647,0.19981903,0.321870798,0.65799373,0.399455969,0.280001358
131,0.57192356,0.435114992,0.16851029,0.62250232,0.560542393,0.285774548
132,0.43753584,0.587912048,0.12665513,0.615204952,0.476117315,0.34850303
133,0.505053695,0.656545416,0.276221192,0.544038769,0.491001373,0.40604498
